timestamp_ms,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1702958400000,43082.21,43131.2,42840.04,42921.47,1453.74012,1702961999999,62504591.234488,55069,668.93224,28765624.4855563,0
1702962000000,42921.47,42993.06,42862.32,42958.78,926.20047,1702965599999,39774095.1494097,38509,396.39093,17023480.6768375,0
1702965600000,42958.79,42977.18,42815.27,42907.1,848.12034,1702969199999,36390517.7148782,40885,374.84205,16083750.1732633,0
1702969200000,42907.09,43119.73,42891.07,43036.16,1458.0226,1702972799999,62699321.5610194,50522,695.0436,29887038.166206,0
1702972800000,43036.17,43186.01,42989.69,43088.06,1575.37018,1702976399999,67914929.0589454,65829,820.56888,35376099.6519587,0
1702976400000,43088.06,43184.0,42949.54,43037.15,1185.4714,1702979999999,51050768.9162523,55338,561.02813,24160726.4077224,0
1702980000000,43037.15,43268.74,42942.0,43129.52,1669.36453,1702983599999,71963440.3465776,73153,870.63795,37532582.6293619,0
1702983600000,43129.53,43200.0,42960.99,42976.11,2076.99801,1702987199999,89490828.9854034,71730,725.89256,31278189.0079111,0
1702987200000,42976.1,43026.22,42855.0,42946.0,1286.60034,1702990799999,55260782.6685032,53245,654.97844,28132055.5301775,0
1702990800000,42946.0,43041.1,42830.76,42861.75,1175.72526,1702994399999,50505869.0409367,53576,533.04975,22903212.3283113,0
1702994400000,42861.75,42907.28,42232.0,42367.03,3490.2934,1702997999999,148549184.1840794,131532,1625.22176,69167369.9843261,0
1702998000000,42367.03,42739.61,42250.0,42486.86,2373.74773,1703001599999,100911251.108662,95473,1238.89793,52674323.7091122,0
1703001600000,42486.85,42646.66,42306.24,42337.8,1492.88928,1703005199999,63432027.294559,59043,795.17558,33787849.8149345,0
1703005200000,42337.83,42356.98,41834.87,41854.06,3312.17419,1703008799999,139181201.1387918,128726,1556.35581,65391532.4013798,0
1703008800000,41854.07,42236.59,41811.1,42216.41,1874.23732,1703012399999,78850769.7159832,76946,939.74234,39531848.7125444,0
1703012400000,42216.41,42482.2,42148.88,42341.96,1514.20576,1703015999999,64009029.3225648,70955,817.14176,34539091.6152811,0
1703016000000,42341.96,42394.83,42121.12,42228.15,1163.552,1703019599999,49180785.2808944,55003,572.62787,24204593.6312374,0
1703019600000,42228.16,42528.67,42215.04,42517.99,933.82268,1703023199999,39561113.2775557,47974,524.97995,22241985.0100632,0
1703023200000,42517.98,42519.83,42253.66,42333.64,782.1551,1703026799999,33125498.3896308,42142,352.83667,14941355.1305306,0
1703026800000,42333.63,42409.32,42209.0,42275.99,920.06827,1703030399999,38924725.3537037,40459,418.71172,17714611.4027626,0
1703030400000,42275.99,42444.0,42235.4,42423.5,926.83175,1703033999999,39263833.784083,45898,485.39211,20563049.463631,0
1703034000000,42423.5,42493.2,42235.6,42308.64,833.77664,1703037599999,35334688.8588073,44926,355.91956,15081179.388285,0
1703037600000,42308.64,42455.0,42206.0,42428.01,909.10222,1703041199999,38501889.2590309,47056,405.10913,17160644.7229869,0
1703041200000,42428.01,42476.19,42356.91,42419.75,758.36694,1703044799999,32177619.5766365,39178,296.13672,12565330.3608244,0
1703044800000,42419.75,42880.08,42376.15,42812.97,1833.60101,1703048399999,78171437.3307865,81685,997.91261,42546513.3585737,0
1703048400000,42812.96,42837.73,42585.73,42709.17,1077.47947,1703051999999,45989010.0725658,52182,473.30653,20204665.0301667,0
1703052000000,42709.17,43041.0,42634.08,42875.62,1994.60467,1703055599999,85525083.5650222,91484,1119.40761,48009299.1391069,0
1703055600000,42875.62,42967.2,42802.98,42924.23,1097.59045,1703059199999,47067762.8874373,53581,522.84362,22421381.267368,0
1703059200000,42924.23,42998.08,42755.53,42776.99,1263.98317,1703062799999,54181336.5793685,59330,528.56718,22655103.177078,0
1703062800000,42777.0,42951.35,42719.86,42788.36,1097.74737,1703066399999,47025044.6192784,57802,539.81047,23124231.2189333,0
1703066400000,42788.36,42870.68,42675.0,42870.67,1179.56013,1703069999999,50479441.0511919,53102,562.90305,24091481.23813,0
1703070000000,42870.67,42993.2,42743.79,42864.44,1221.99062,1703073599999,52377468.2647431,59681,544.78551,23351516.7896552,0
1703073600000,42864.43,43000.0,42757.32,42979.61,1226.18496,1703077199999,52597963.3001978,59868,673.1647,28877382.1528052,0
1703077200000,42979.62,43790.84,42979.61,43769.44,5910.69487,1703080799999,256323887.19552848,199700,3218.71767,139592723.8700089,0
1703080800000,43769.44,44200.01,43602.26,43867.05,6702.39261,1703084399999,294294911.1882554,214200,3319.44745,145804508.4638497,0
1703084400000,43867.04,44283.0,43814.74,44027.2,4069.51762,1703087999999,179504863.6509621,137525,1949.28136,85978886.2913519,0
1703088000000,44027.2,44120.0,43486.0,43691.51,2938.86745,1703091599999,128929048.7336034,97841,1322.78497,58026669.6677816,0
1703091600000,43691.51,44036.37,43545.28,43996.8,2588.14869,1703095199999,113383050.2954164,96642,1300.41012,56971865.1055069,0
1703095200000,43996.81,44200.0,43925.93,44144.51,2146.60468,1703098799999,94602175.0759545,81772,1008.69672,44453524.7140435,0
1703098800000,44144.51,44250.0,43738.0,43738.01,2146.32259,1703102399999,94432729.4164974,86151,975.35342,42914399.4191472,0
1703102400000,43738.01,43812.23,43230.17,43441.82,3419.85062,1703105999999,148944048.1437918,130403,1668.63818,72697482.9518939,0
1703106000000,43441.83,43705.88,43336.34,43457.45,1528.01694,1703109599999,66565451.2089987,64417,730.46678,31822069.4503418,0
1703109600000,43457.44,43743.57,43425.82,43611.65,952.8399,1703113199999,41527568.5562855,41506,470.57967,20500078.9242907,0
1703113200000,43611.65,43668.93,43457.52,43668.93,886.21933,1703116799999,38613557.1651761,38658,442.50168,19280019.6103795,0
1703116800000,43668.92,43731.08,43521.03,43581.68,1220.90936,1703120399999,53269364.3309852,44351,509.891,22246408.2672478,0
1703120400000,43581.68,43599.1,43352.94,43459.04,1303.68189,1703123999999,56638946.8028962,51401,538.11415,23373152.7843538,0
1703124000000,43459.04,43573.82,43286.72,43389.95,1148.32524,1703127599999,49876611.5285406,46704,539.06232,23413868.1678315,0
1703127600000,43389.94,43688.0,43367.48,43649.37,1117.63574,1703131199999,48716988.3978826,45078,579.45967,25255607.155634,0
1703131200000,43649.36,43707.42,43600.0,43627.41,766.34647,1703134799999,33452697.6883259,38589,403.55459,17616145.4999972,0
1703134800000,43627.41,43697.96,43451.44,43511.11,725.66695,1703138399999,31636484.5294172,37357,329.83557,14381918.5932278,0
1703138400000,43511.11,43820.0,43476.35,43808.04,1058.48203,1703141999999,46187280.4396782,48618,606.27549,26454321.8953545,0
1703142000000,43808.03,43877.75,43722.4,43764.5,1388.35061,1703145599999,60794682.1681439,52188,744.37694,32596100.2259089,0
1703145600000,43764.49,43937.71,43659.0,43678.61,1654.48135,1703149199999,72489437.3552484,68591,840.37486,36820333.4656007,0
1703149200000,43678.62,43746.52,43579.22,43746.51,1531.27923,1703152799999,66865698.4398361,54726,812.30524,35471944.9247179,0
1703152800000,43746.54,44050.0,43746.54,43982.34,1874.11876,1703156399999,82216594.5863225,77701,989.22818,43399375.7553519,0
1703156400000,43982.34,44100.0,43874.27,43931.6,1626.20993,1703159999999,71528186.6914583,69112,867.3458,38151319.0562451,0
1703160000000,43931.6,44207.0,43927.84,44046.35,1638.75647,1703163599999,72273935.2958731,82431,841.1782,37100855.2227069,0
1703163600000,44046.34,44242.35,43939.62,44147.63,1402.83593,1703167199999,61823709.5458413,62543,686.29166,30246435.2727082,0
1703167200000,44147.62,44207.0,43459.2,43519.73,3094.14531,1703170799999,135506782.5750059,136612,1402.82082,61434854.8089805,0
1703170800000,43519.73,43931.23,43380.0,43823.99,2555.68918,1703174399999,111622865.9783809,100272,1259.49905,55013171.2386484,0
1703174400000,43824.0,43927.7,43531.89,43668.3,1565.27952,1703177999999,68431601.9356256,80567,707.20749,30925503.6440088,0
1703178000000,43668.3,43668.3,43370.4,43449.1,1852.382,1703181599999,80603044.837396,78686,866.36207,37697498.5849529,0
1703181600000,43449.11,43629.43,43449.1,43581.1,1169.20153,1703185199999,50924066.6020265,52460,598.45278,26064005.9131887,0
1703185200000,43581.1,43867.19,43411.1,43588.8,1584.09235,1703188799999,69064825.4944335,74909,810.14494,35327934.9733289,0
1703188800000,43588.79,43796.8,43554.01,43796.8,1189.44043,1703192399999,51968087.2400094,53601,584.53607,25537625.5436712,0
1703192400000,43796.8,44119.2,43719.77,43994.93,1591.09765,1703195999999,69870607.886327,68617,841.58897,36955330.1412392,0
1703196000000,43994.93,44020.4,43885.53,43949.44,785.46857,1703199599999,34526838.0332862,38829,337.51581,14836462.2973536,0
1703199600000,43949.43,43950.0,43793.34,43861.8,780.41734,1703203199999,34240580.8048391,36759,363.47378,15946207.336982,0
1703203200000,43861.79,43945.0,43722.46,43828.94,756.38114,1703206799999,33166710.4809063,36470,379.8739,16657518.7251197,0
1703206800000,43828.94,44251.0,43828.93,44111.99,2289.84728,1703210399999,100939680.4368965,70721,1382.40212,60928980.7429226,0
1703210400000,44112.0,44145.09,43911.1,43966.08,1205.05241,1703213999999,53062048.2858375,50790,548.57648,24154755.7218368,0
1703214000000,43966.07,44040.47,43890.94,44008.0,788.69281,1703217599999,34668888.6933069,35685,396.86378,17444819.2417031,0
1703217600000,44008.0,44142.47,43924.81,44103.86,781.55582,1703221199999,34419327.3006526,34915,368.87665,16246019.6441128,0
1703221200000,44103.86,44230.22,44082.0,44138.0,976.24582,1703224799999,43109745.7045983,38757,510.29108,22534485.2363261,0
1703224800000,44138.01,44398.26,43820.0,43874.95,2598.78433,1703228399999,114633819.1241798,124223,1334.20533,58865231.9767935,0
1703228400000,43874.95,43962.0,43534.47,43584.37,2852.8405,1703231999999,124876421.7623339,119179,1276.55257,55885272.5309901,0
1703232000000,43584.37,43803.08,43563.97,43610.01,1754.68857,1703235599999,76678201.0587385,68747,831.74737,36344132.2656081,0
1703235600000,43610.0,43787.66,43463.0,43741.96,2334.88929,1703239199999,101845567.8492653,105276,1010.00543,44063872.6468696,0
1703239200000,43741.95,43766.08,43650.01,43701.01,846.01307,1703242799999,36983508.2394605,41778,385.10542,16834553.9585459,0
1703242800000,43701.01,43839.22,43632.03,43753.94,912.3394,1703246399999,39902057.320382,44214,448.71486,19626645.1462221,0
1703246400000,43753.95,43792.0,43501.0,43567.91,1427.16459,1703249999999,62251747.8126217,52427,629.60049,27460499.5899606,0
1703250000000,43567.9,43809.4,43534.0,43693.99,1361.35539,1703253599999,59479331.0925691,55467,642.91908,28085844.5938015,0
